Note,Proportion
A1,0.005610098176718092
A2,0.012798036465638148
A3,0.01332398316970547
A4,0.02717391304347826
A5,0.010168302945301542
A6,0.0047335203366058905
A7,0.0008765778401122019
A8,0.0038569424964936885
M1,0.033660589060308554
M2,0.07819074333800842
M3,0.05627629733520337
M5,0.03751753155680224
M6,0.07258064516129033
M7,0.024193548387096774
M8,0.0005259467040673212
M9,0.0005259467040673212
P1,0.04400420757363254
P3,0.04137447405329593
P4,0.10185834502103787
P5,0.072054698457223
P7,0.005610098176718092
P8,0.052244039270687236
d1,0.020161290322580645
d2,0.036290322580645164
d3,0.016129032258064516
d4,0.020511921458625525
d5,0.025771388499298737
d6,0.029453015427769985
d7,0.009992987377279102
d8,0.0017531556802244039
m1,0.006486676016830294
m2,0.029803646563814866
m3,0.02699859747545582
m5,0.01805750350631136
m6,0.04014726507713885
m7,0.019284712482468443
